employee_id,team,manager_id,survey_date,tenure_months,q1_expectations,q2_tools,q3_best_work,q4_recognition,q5_care_about_me,q6_dev_support,q7_my_opinions_count,q8_mission_importance,q9_team_quality,q10_best_friend,q11_progress_feedback,q12_learning_growth,engagement_score_avg,nps_style_score
E1000,Engineering,M24,2023-01-01,14,4.347699907107863,3.903214989180171,4.453381976670484,5.0,3.836092637693665,3.8361041301355736,5.0,4.537204310407036,3.6713679298455335,4.379792030510175,3.6756076150312764,3.67398917250082,4.19,90
E1000,Engineering,M24,2023-04-01,17,4.169373590096224,2.6607038287395417,2.792557517240877,3.6063987295313193,3.291018215765903,4.219973132816691,3.364383147135152,3.011387409065296,5.0,3.841956589659425,4.0472697432815465,3.00267626965058,3.58,0
E1000,Engineering,M24,2023-07-01,20,3.618932092832372,4.077645812796907,3.194304495804388,4.26298861284197,3.5795529170568363,3.7958143751447064,3.5788053714394223,5.0,3.9905519426834464,3.2596023497308697,4.575781438472232,3.1454094450202845,3.84,20
E1000,Engineering,M24,2023-10-01,23,4.146204516503329,2.628230913284157,3.0702697657710987,4.1378028651083865,4.516926605996788,4.1199577968329795,3.9190462023282318,3.789227413087498,2.965034606742801,3.496109054123704,3.6775528603281487,4.739985558353241,3.77,20
E1000,Engineering,M24,2024-01-01,26,4.240532802697923,2.7658718912460865,4.226858778576356,3.7304424037085786,3.526154599785829,4.428173402188608,4.721699665747166,4.651896083381339,3.412547733744153,3.78355133690415,4.231884401982494,4.682881588985651,4.03,100
E1000,Engineering,M24,2024-04-01,29,3.664578033508297,3.870038716335328,3.22556551819578,3.1626553631435304,4.568768075675939,4.949368019999576,3.9495929148937665,4.702473028524417,4.253145217533344,3.548416171776413,4.25297692385589,5.0,4.1,10
E1000,Engineering,M24,2024-07-01,32,3.974921772623034,5.0,2.1661784271371793,4.575331753062657,4.0609329477667195,3.7906948546738928,4.064232543574851,2.6087017597793754,3.8462296785137418,4.249978800058223,5.0,3.637210847208447,3.91,30
E1000,Engineering,M24,2024-10-01,35,3.434054477974769,3.6487700694908245,4.640781482391452,4.2301257767617795,3.629167857363073,4.359287203179349,4.067954284543628,4.678051493373022,3.5085628342858532,3.7706364973815623,3.72552429280749,2.975539536307517,3.89,10
E1001,Sales,M8,2023-01-01,46,4.2072841939452035,4.182738690525922,4.003579419649722,3.835789006637397,3.00924048056471,3.705548274064249,3.7600998384312616,3.4384059115448666,3.887100001833794,4.282835599770177,5.0,4.122204468982288,3.95,20
E1001,Sales,M8,2023-04-01,49,4.180285273505935,3.947887858963683,2.656860149290671,3.9814402871855483,4.042161146958718,5.0,3.8653473246532144,4.211083139633529,3.97570176120633,3.1819253736663278,4.7999759701605145,4.526353122880742,4.03,90
